index_in_path,lat,lng,altitude,heading,roll,tilt,distance_from_ground
76,37.427034714526805,-122.28358319419253,229.83,127.2,0.0,55.1,200
77,37.42703348997051,-122.28358116280049,230.15,127.2,0.0,55.1,200
78,37.427032301402384,-122.28357919110852,230.47,127.2,0.0,55.1,200
79,37.42703104962463,-122.28357711455944,230.79,127.2,0.0,55.1,200
80,37.42702973727197,-122.28357493752384,231.11,127.2,0.0,55.1,200
81,37.42702843094604,-122.2835727704859,231.42,127.2,0.0,55.1,200
82,37.42702712335785,-122.28357060135409,231.73,127.2,0.0,55.1,200
83,37.42702585521972,-122.28356849766523,232.04,127.2,0.0,55.2,200
84,37.42702460881294,-122.28356643002608,232.35,127.2,0.0,55.2,200
85,37.427023301086535,-122.2835642606651,232.65,127.2,0.0,55.2,200
86,37.427021987395975,-122.28356208141032,232.95,127.2,0.0,55.2,200
87,37.427020672130524,-122.28355989954302,233.24,127.2,0.0,55.2,200
88,37.42701927851015,-122.2835575876944,233.54,127.2,0.0,55.3,200
89,37.42701781285357,-122.28355515634641,233.83,127.2,0.0,55.3,200
90,37.427016270629856,-122.28355259798279,234.12,127.2,0.0,55.3,200
91,37.42701475561729,-122.28355008475923,234.4,127.2,0.0,55.3,200
92,37.42701327204295,-122.28354762368798,234.68,127.2,0.0,55.4,200
93,37.42701188447641,-122.28354532188213,234.96,127.2,0.0,55.4,200
94,37.4270104258561,-122.2835429022067,235.23,127.2,0.0,55.5,200
95,37.42700908744089,-122.2835406819371,235.5,127.2,0.0,55.5,200
96,37.42700763487301,-122.28353827230202,235.77,127.2,0.0,55.6,200
97,37.42700605729653,-122.28353565529275,236.04,127.2,0.0,55.7,200
98,37.427004555664254,-122.28353316426582,236.3,127.2,0.0,55.7,200
99,37.42700303519128,-122.28353064198451,236.56,127.2,0.0,55.8,200
100,37.427001594809454,-122.28352825256484,236.81,127.2,0.0,55.9,200
101,37.42700022587595,-122.28352598166929,237.06,127.2,0.0,56.0,200
102,37.42699879270819,-122.28352360421694,237.31,127.2,0.0,56.1,200
103,37.42699742979226,-122.2835213433039,237.56,127.3,0.0,56.1,200
104,37.42699618259662,-122.28351927435695,237.8,127.4,0.0,56.2,200
105,37.4269950123169,-122.28351733300421,238.04,127.6,0.0,56.3,200
106,37.42699408938212,-122.28351581204168,238.27,127.9,0.0,56.4,200
107,37.426993050423235,-122.2835141196088,238.51,128.3,0.0,56.5,200
108,37.42699205897971,-122.28351252875294,238.73,128.7,0.0,56.6,200
109,37.42699107265387,-122.28351097315402,238.96,129.1,0.0,56.7,200
110,37.426989974573104,-122.28350927260912,239.18,129.6,0.0,56.8,200
111,37.42698885481887,-122.28350756995634,239.4,130.1,0.0,56.9,200
112,37.426987730825175,-122.28350589070655,239.61,130.5,0.0,57.0,200
